name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Cinta Itu Buta,Hal Terbesar,Armada,78zssGNrP4I5WoCtr9K2E7,2009-07-23,54,242946,0.577,0.0787,0.795,3.81e-06,0.12,0.895,-3.732,0.0308,127.995,11,4
Aku Bukan Untukmu,Kembali Indah,Jikustik,28QtTXLKcRn0hyVBP64tQf,2010-01-01,30,249266,0.567,0.674,0.618,0.0,0.144,0.357,-6.606,0.024,78.027,4,4
Ku Bahagia,Gemini,Sherina,4cwsaW9WRyedzDt89Xwhjh,2009-09-07,27,274333,0.35,0.646,0.43,0.0,0.0946,0.419,-7.837,0.0297,89.896,2,3
Tak Pernah Padam,Find The Way,Sandhy Sondoro,0heY4hxgRs6s1wrMtrS3YJ,2011-12-16,56,241106,0.667,0.548,0.456,0.0,0.17,0.551,-6.799,0.0409,74.987,8,4
Tak Ada Yang Bisa,Season 2,Andra & The Backbone,4GTl1yGggDLDtbjd8icOYI,2008-03-25,55,300651,0.531,0.525,0.287,5.15e-05,0.132,0.252,-10.632,0.0308,120.116,2,4
Dewi,Alexa,Alexa,3dPqT7eqD97dsN6kFUixk0,2008-02-25,62,257760,0.349,0.865,0.327,0.0,0.148,0.339,-8.441,0.0292,149.825,4,4
Sunset Di Tanah Anarki,Sunset di Tanah Anarki,Superman Is Dead,1bfbixjy7OPG2n3MbLKrKu,2013-10-15,59,328600,0.578,0.0838,0.87,0.00107,0.138,0.416,-5.688,0.0602,97.465,6,4
Jika Kami Bersama,Angels And The Outsiders,Superman Is Dead,1tjXK475zBScgGLld0IHEn,2008-07-28,54,228293,0.482,0.0213,0.9,2.16e-06,0.0884,0.885,-4.269,0.041,185.108,6,4
Ingat Kamu,Sang Juara,Maia,7qzpzDHfnDxqXSLCrF77O4,2009-02-23,33,240026,0.684,0.283,0.863,0.0,0.374,0.799,-4.63,0.0264,102.025,4,4
Doy,Bintang 14 Hari,Kangen Band,0MhNhoGoKkOILkpAq80cdc,2008-03-05,51,204826,0.762,0.0591,0.672,0.0,0.028,0.96,-7.15,0.0502,129.965,11,4
Selimut Hati,The 2000's Greatest,Dewa 19,112PgZaSiXk8Mqem2Krgtq,2007-03-12,61,279289,0.703,0.547,0.428,0.000101,0.129,0.545,-8.41,0.0286,74.995,9,4
Aku Rela,Titik Cerah,Naif,1pkECZmuSQo5Jy1jIofPqU,2014-07-07,50,144770,0.61,0.181,0.792,0.0,0.298,0.511,-8.778,0.0458,134.413,0,4
Mungkinkah,Mungkinkah,Stinky,7dlnTQMqvzoJe649aLgUdb,2016-04-15,54,353697,0.482,0.644,0.586,0.0,0.12,0.346,-5.254,0.0276,143.913,9,4
Lupa Lupa Tapi Ingat,BOOMING !!! Bee Are The Kill Young Pen Think Gun Thank,Kuburan,4OsWhV23acZBl7ETJWL714,2009,35,211093,0.878,0.229,0.531,0.0,0.226,0.756,-10.441,0.075,125.069,0,4
Bendera,Rasa Baru (Re-package),Cokelat,0BsTURzR1eWY6GXAKSqyVW,2002-07-03,47,247786,0.545,0.063,0.862,8.6e-05,0.0693,0.713,-7.754,0.0608,155.9,9,4
Main Hati,Season 2,Andra & The Backbone,7FIexxwjbX5IJ9LxawSdjL,2008-03-25,61,238933,0.577,0.00942,0.639,0.000232,0.175,0.461,-5.26,0.0255,157.991,11,4
Aku Pasti Kembali,The Best Of Pasto,Pasto,73YO1J18gPintZVazgvUC5,2014-05-21,53,281547,0.52,0.833,0.301,0.0,0.124,0.523,-8.504,0.0277,141.937,7,4
Takut,Storytelling,Vierra,1U6SW639koYskErj9AEcN4,2022-02-07,47,201280,0.621,0.975,0.183,0.000131,0.128,0.45,-12.603,0.0268,77.977,2,4
Sempat Memiliki,The Special One,Yovie & Nuno,5It44CCAJpMBShYw1swvql,2007-12-10,55,252093,0.58,0.646,0.513,0.00038,0.133,0.429,-6.576,0.0292,124.019,9,4
